instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_group
1,2011-01-01,Spring,2011,Jan,0,No,Sat,No,Clear,0.24,0.2879,0.81,0.0,3,13,16,Off Hours
2,2011-01-01,Spring,2011,Jan,1,No,Sat,No,Clear,0.22,0.2727,0.8,0.0,8,32,40,Off Hours
3,2011-01-01,Spring,2011,Jan,2,No,Sat,No,Clear,0.22,0.2727,0.8,0.0,5,27,32,Off Hours
4,2011-01-01,Spring,2011,Jan,3,No,Sat,No,Clear,0.24,0.2879,0.75,0.0,3,10,13,Off Hours
5,2011-01-01,Spring,2011,Jan,4,No,Sat,No,Clear,0.24,0.2879,0.75,0.0,0,1,1,Off Hours
6,2011-01-01,Spring,2011,Jan,5,No,Sat,No,Mist/Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,Off Hours
7,2011-01-01,Spring,2011,Jan,6,No,Sat,No,Clear,0.22,0.2727,0.8,0.0,2,0,2,Morning Peak
8,2011-01-01,Spring,2011,Jan,7,No,Sat,No,Clear,0.2,0.2576,0.86,0.0,1,2,3,Morning Peak
9,2011-01-01,Spring,2011,Jan,8,No,Sat,No,Clear,0.24,0.2879,0.75,0.0,1,7,8,Morning Peak
10,2011-01-01,Spring,2011,Jan,9,No,Sat,No,Clear,0.32,0.3485,0.76,0.0,8,6,14,Morning Peak
11,2011-01-01,Spring,2011,Jan,10,No,Sat,No,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Afternoon
12,2011-01-01,Spring,2011,Jan,11,No,Sat,No,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Afternoon
13,2011-01-01,Spring,2011,Jan,12,No,Sat,No,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Afternoon
14,2011-01-01,Spring,2011,Jan,13,No,Sat,No,Mist/Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,Afternoon
15,2011-01-01,Spring,2011,Jan,14,No,Sat,No,Mist/Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,Afternoon
16,2011-01-01,Spring,2011,Jan,15,No,Sat,No,Mist/Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,Afternoon
17,2011-01-01,Spring,2011,Jan,16,No,Sat,No,Mist/Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,Evening Peak
18,2011-01-01,Spring,2011,Jan,17,No,Sat,No,Mist/Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,Evening Peak
19,2011-01-01,Spring,2011,Jan,18,No,Sat,No,Light Rain/Snow,0.42,0.4242,0.88,0.2537,9,26,35,Evening Peak
20,2011-01-01,Spring,2011,Jan,19,No,Sat,No,Light Rain/Snow,0.42,0.4242,0.88,0.2537,6,31,37,Evening Peak
21,2011-01-01,Spring,2011,Jan,20,No,Sat,No,Mist/Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,Off Hours
22,2011-01-01,Spring,2011,Jan,21,No,Sat,No,Mist/Cloudy,0.4,0.4091,0.87,0.194,3,31,34,Off Hours
23,2011-01-01,Spring,2011,Jan,22,No,Sat,No,Mist/Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,Off Hours
24,2011-01-01,Spring,2011,Jan,23,No,Sat,No,Mist/Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,Off Hours
25,2011-01-02,Spring,2011,Jan,0,No,Sun,No,Mist/Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,Off Hours
26,2011-01-02,Spring,2011,Jan,1,No,Sun,No,Mist/Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,Off Hours
27,2011-01-02,Spring,2011,Jan,2,No,Sun,No,Mist/Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,Off Hours
28,2011-01-02,Spring,2011,Jan,3,No,Sun,No,Mist/Cloudy,0.46,0.4545,0.94,0.194,2,4,6,Off Hours
29,2011-01-02,Spring,2011,Jan,4,No,Sun,No,Mist/Cloudy,0.46,0.4545,0.94,0.194,2,1,3,Off Hours
30,2011-01-02,Spring,2011,Jan,6,No,Sun,No,Light Rain/Snow,0.42,0.4242,0.77,0.2985,0,2,2,Morning Peak
31,2011-01-02,Spring,2011,Jan,7,No,Sun,No,Mist/Cloudy,0.4,0.4091,0.76,0.194,0,1,1,Morning Peak
32,2011-01-02,Spring,2011,Jan,8,No,Sun,No,Light Rain/Snow,0.4,0.4091,0.71,0.2239,0,8,8,Morning Peak
33,2011-01-02,Spring,2011,Jan,9,No,Sun,No,Mist/Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,Morning Peak
34,2011-01-02,Spring,2011,Jan,10,No,Sun,No,Mist/Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,Afternoon
35,2011-01-02,Spring,2011,Jan,11,No,Sun,No,Mist/Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,Afternoon
36,2011-01-02,Spring,2011,Jan,12,No,Sun,No,Mist/Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,Afternoon
37,2011-01-02,Spring,2011,Jan,13,No,Sun,No,Mist/Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,Afternoon
38,2011-01-02,Spring,2011,Jan,14,No,Sun,No,Light Rain/Snow,0.36,0.3485,0.76,0.194,4,55,59,Afternoon
39,2011-01-02,Spring,2011,Jan,15,No,Sun,No,Light Rain/Snow,0.34,0.3333,0.81,0.1642,19,55,74,Afternoon
40,2011-01-02,Spring,2011,Jan,16,No,Sun,No,Light Rain/Snow,0.34,0.3333,0.71,0.1642,9,67,76,Evening Peak
41,2011-01-02,Spring,2011,Jan,17,No,Sun,No,Clear,0.34,0.3333,0.57,0.194,7,58,65,Evening Peak
42,2011-01-02,Spring,2011,Jan,18,No,Sun,No,Mist/Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,Evening Peak
43,2011-01-02,Spring,2011,Jan,19,No,Sun,No,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Evening Peak
44,2011-01-02,Spring,2011,Jan,20,No,Sun,No,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Off Hours
45,2011-01-02,Spring,2011,Jan,21,No,Sun,No,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Off Hours
46,2011-01-02,Spring,2011,Jan,22,No,Sun,No,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Off Hours
47,2011-01-02,Spring,2011,Jan,23,No,Sun,No,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Off Hours
48,2011-01-03,Spring,2011,Jan,0,No,Mon,Yes,Clear,0.22,0.197,0.44,0.3582,0,5,5,Off Hours
49,2011-01-03,Spring,2011,Jan,1,No,Mon,Yes,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Off Hours
50,2011-01-03,Spring,2011,Jan,4,No,Mon,Yes,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Off Hours
51,2011-01-03,Spring,2011,Jan,5,No,Mon,Yes,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Off Hours
52,2011-01-03,Spring,2011,Jan,6,No,Mon,Yes,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Morning Peak
53,2011-01-03,Spring,2011,Jan,7,No,Mon,Yes,Clear,0.14,0.1364,0.5,0.194,1,63,64,Morning Peak
54,2011-01-03,Spring,2011,Jan,8,No,Mon,Yes,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Morning Peak
55,2011-01-03,Spring,2011,Jan,9,No,Mon,Yes,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Morning Peak
56,2011-01-03,Spring,2011,Jan,10,No,Mon,Yes,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Afternoon
57,2011-01-03,Spring,2011,Jan,11,No,Mon,Yes,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Afternoon
58,2011-01-03,Spring,2011,Jan,12,No,Mon,Yes,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Afternoon
59,2011-01-03,Spring,2011,Jan,13,No,Mon,Yes,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Afternoon
60,2011-01-03,Spring,2011,Jan,14,No,Mon,Yes,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Afternoon
61,2011-01-03,Spring,2011,Jan,15,No,Mon,Yes,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Afternoon
62,2011-01-03,Spring,2011,Jan,16,No,Mon,Yes,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Evening Peak
63,2011-01-03,Spring,2011,Jan,17,No,Mon,Yes,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Evening Peak
64,2011-01-03,Spring,2011,Jan,18,No,Mon,Yes,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Evening Peak
65,2011-01-03,Spring,2011,Jan,19,No,Mon,Yes,Clear,0.2,0.2576,0.47,0.0,8,102,110,Evening Peak
66,2011-01-03,Spring,2011,Jan,20,No,Mon,Yes,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Off Hours
67,2011-01-03,Spring,2011,Jan,21,No,Mon,Yes,Clear,0.18,0.197,0.64,0.1343,3,49,52,Off Hours
68,2011-01-03,Spring,2011,Jan,22,No,Mon,Yes,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Off Hours
69,2011-01-03,Spring,2011,Jan,23,No,Mon,Yes,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Off Hours
70,2011-01-04,Spring,2011,Jan,0,No,Tue,Yes,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Off Hours
